Txn_id,Timestamp,Sender_account,Receiver_account,Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type,Is_laundering,Laundering_type,total_risk_score,risk_tier,triggered_rules,rule_reasons
25,2026-05-07 12:43:24,2484231014,1465487567,7300.93,UK pounds,UK pounds,UK,UK,Debit card,1,Structuring/Smurfing; Layering,65,HIGH,Smurfing|Layering,"Smurfing: account '2484231014' made 3 transactions totalling 21,742.03 within 24h (each below 9,999.00 threshold); Fan-in: receiver 1465487567 received from 4 distinct senders within 72h (chain amount: 47,338.79, threshold: 10,000.00)"
26,2026-05-07 12:43:25,5955159897,6034997194,13321.52,Euro,UK pounds,Germany,UK,Cross-border,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 13,321.52 Euro exceeds threshold of 9,000.00"
27,2026-05-07 12:43:41,6235572522,3535201459,241.39,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0,,0,LOW,,
28,2026-05-07 12:43:43,8003608688,6034997194,33756.74,UK pounds,UK pounds,UK,UK,ACH,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 33,756.74 UK pounds exceeds threshold of 8,000.00"
29,2026-05-07 12:43:47,5151881380,8725751410,4811.2,UK pounds,UK pounds,UK,UK,Cheque,0,,0,LOW,,
30,2026-05-07 12:43:48,407290317,1165137022,8087.83,UK pounds,UK pounds,UK,UK,Cheque,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 8,087.83 UK pounds exceeds threshold of 8,000.00"
31,2026-05-07 12:43:53,3012603098,6428079472,1006.1,UK pounds,UK pounds,UK,UK,Cheque,0,,0,LOW,,
32,2026-05-07 12:43:55,4316483340,3488425844,6282.38,UK pounds,UK pounds,UK,UK,ACH,0,,0,LOW,,
33,2026-05-07 12:44:01,1092702536,3220735304,19371.89,UK pounds,UK pounds,UK,UK,ACH,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 19,371.89 UK pounds exceeds threshold of 8,000.00"
34,2026-05-07 12:44:02,1499166311,1911427515,1703.31,UK pounds,UK pounds,UK,UK,ACH,0,,0,LOW,,
35,2026-05-07 12:44:03,3876523765,7979406195,508.6,UK pounds,UK pounds,UK,UK,Cash Deposit,0,,0,LOW,,
36,2026-05-07 12:44:04,8600069993,7892884492,12379.04,UK pounds,US dollar,UK,USA,Cross-border,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 12,379.04 UK pounds exceeds threshold of 8,000.00"
37,2026-05-07 12:44:05,6648735087,6264003209,47664.17,UK pounds,UK pounds,UK,UK,ACH,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 47,664.17 UK pounds exceeds threshold of 8,000.00"
38,2026-05-07 12:44:06,6156834944,8678802420,21291.14,UK pounds,UK pounds,UK,UK,Credit card,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 21,291.14 UK pounds exceeds threshold of 8,000.00"
39,2026-05-07 12:44:07,7501327339,4961006135,6420.34,UK pounds,UK pounds,UK,UK,ACH,1,Structuring/Smurfing,40,MEDIUM,Smurfing,"Smurfing: account '7501327339' made 3 transactions totalling 21,104.40 within 24h (each below 9,999.00 threshold)"
40,2026-05-07 12:44:07,596367731,5719844228,9419.81,UK pounds,UK pounds,UK,UK,Cheque,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 9,419.81 UK pounds exceeds threshold of 8,000.00"
41,2026-05-07 12:44:08,8017023442,2478696011,1324.54,UK pounds,UK pounds,UK,UK,Debit card,0,,0,LOW,,
42,2026-05-07 12:44:11,5223272370,1186537090,5790.54,UK pounds,UK pounds,UK,UK,Credit card,0,,0,LOW,,
43,2026-05-07 12:44:11,5021785800,9199525861,6612.83,UK pounds,UK pounds,UK,UK,Debit card,1,Structuring/Smurfing,40,MEDIUM,Smurfing,"Smurfing: account '5021785800' made 3 transactions totalling 19,015.57 within 24h (each below 9,999.00 threshold)"
44,2026-05-07 12:44:12,7849241516,1465487567,6996.39,UK pounds,UK pounds,UK,UK,ACH,1,Structuring/Smurfing; Layering,65,HIGH,Smurfing|Layering,"Smurfing: account '7849241516' made 3 transactions totalling 21,053.77 within 24h (each below 9,999.00 threshold); Fan-in: receiver 1465487567 received from 4 distinct senders within 72h (chain amount: 47,338.79, threshold: 10,000.00)"
45,2026-05-07 12:44:13,7394937898,8898445416,3061.65,UK pounds,UK pounds,UK,UK,Credit card,0,,0,LOW,,
46,2026-05-07 12:44:17,8319501269,1689748473,2716.35,UK pounds,UK pounds,UK,UK,Cash Deposit,0,,0,LOW,,
47,2026-05-07 12:44:17,5071781251,9501125485,2338.68,UK pounds,UK pounds,UK,UK,Cash Deposit,0,Fan-Out/Money-Mule,20,LOW,RapidMovement,"RapidMovement: account '9501125485' received 2,338.68 then re-sent 3,558.88 (152.2%) within 24h"
48,2026-05-07 12:44:19,8083570625,5583952328,74.33,UK pounds,UK pounds,UK,UK,Debit card,0,,0,LOW,,
49,2026-05-07 12:44:20,2168910862,8678802420,7009.58,UK pounds,UK pounds,UK,UK,ACH,0,,0,LOW,,
50,2026-05-07 12:44:21,288448161,3506140194,1667.98,UK pounds,UK pounds,UK,UK,Cheque,0,,0,LOW,,
51,2026-05-07 12:44:21,9506591992,791276398,19245.02,UK pounds,UK pounds,UK,UK,ACH,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 19,245.02 UK pounds exceeds threshold of 8,000.00"
52,2026-05-07 12:44:24,3497124400,375261355,513.74,UK pounds,UK pounds,UK,UK,Cheque,0,,0,LOW,,
53,2026-05-07 12:44:27,3009397443,5708936901,11425.34,UK pounds,UK pounds,UK,UK,Cheque,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 11,425.34 UK pounds exceeds threshold of 8,000.00"
54,2026-05-07 12:44:32,4668123872,905071615,4593.94,UK pounds,UK pounds,UK,UK,Cash Deposit,0,,0,LOW,,
55,2026-05-07 12:44:34,9218034175,6511116461,5945.35,UK pounds,UK pounds,UK,UK,Debit card,0,,0,LOW,,
56,2026-05-07 12:44:37,3844336299,7160736915,10944.41,UK pounds,UK pounds,UK,UK,Cheque,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 10,944.41 UK pounds exceeds threshold of 8,000.00"
57,2026-05-07 12:44:38,5989800916,172510384,852.71,UK pounds,UK pounds,UK,UK,Cheque,0,,0,LOW,,
58,2026-05-07 12:44:39,1890157187,4305970891,1539.47,UK pounds,UK pounds,UK,UK,Credit card,0,,0,LOW,,
59,2026-05-07 12:44:41,1915450576,6846852475,5211.74,UK pounds,UK pounds,UK,UK,Cheque,1,Structuring/Smurfing,40,MEDIUM,Smurfing,"Smurfing: account '1915450576' made 3 transactions totalling 18,241.06 within 24h (each below 9,999.00 threshold)"
60,2026-05-07 12:44:46,3614082527,2547799506,12298.47,UK pounds,UK pounds,UK,UK,Credit card,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 12,298.47 UK pounds exceeds threshold of 8,000.00"
61,2026-05-07 12:44:48,7438507951,3220735304,18943.66,UK pounds,UK pounds,UK,UK,Cheque,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 18,943.66 UK pounds exceeds threshold of 8,000.00"
62,2026-05-07 12:44:50,5589395940,2485684866,3296.53,UK pounds,UK pounds,UK,UK,Cheque,0,,0,LOW,,
63,2026-05-07 12:44:51,1491989064,7160767531,8287.4,UK pounds,UK pounds,UK,UK,ACH,1,Large-Cash-Transaction; Structuring/Smurfing,65,HIGH,LargeTransaction|Smurfing,"Transaction amount 8,287.40 UK pounds exceeds threshold of 8,000.00; Smurfing: account '1491989064' made 3 transactions totalling 23,077.52 within 24h (each below 9,999.00 threshold)"
64,2026-05-07 12:44:53,7590592049,8355436243,2504.69,UK pounds,UK pounds,UK,UK,Cheque,0,,0,LOW,,
65,2026-05-07 12:44:53,2739237963,5624016781,11256.14,UK pounds,UK pounds,UK,UK,Credit card,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 11,256.14 UK pounds exceeds threshold of 8,000.00"
66,2026-05-07 12:44:58,9088114734,6574810359,6630.56,UK pounds,UK pounds,UK,UK,Credit card,0,,0,LOW,,
67,2026-05-07 12:45:00,763730750,7596697023,694.12,UK pounds,UK pounds,UK,UK,Credit card,0,,0,LOW,,
68,2026-05-07 12:45:02,3883907165,9663002809,1032.26,UK pounds,UK pounds,UK,UK,Debit card,0,,0,LOW,,
69,2026-05-07 12:45:03,2030127815,7412789597,10869.63,UK pounds,UK pounds,UK,UK,ACH,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 10,869.63 UK pounds exceeds threshold of 8,000.00"
70,2026-05-07 12:45:03,2049525961,6233217293,5483.39,UK pounds,UK pounds,UK,UK,Credit card,0,,0,LOW,,
71,2026-05-07 12:45:04,8673917867,488828934,608.18,UK pounds,UK pounds,UK,UK,Debit card,0,,0,LOW,,
72,2026-05-07 12:45:08,6500267083,5466123934,8060.25,UK pounds,UK pounds,UK,UK,Cheque,1,Large-Cash-Transaction; Structuring/Smurfing,65,HIGH,LargeTransaction|Smurfing,"Transaction amount 8,060.25 UK pounds exceeds threshold of 8,000.00; Smurfing: account '6500267083' made 3 transactions totalling 24,250.33 within 24h (each below 9,999.00 threshold)"
73,2026-05-07 12:45:11,3730404955,1072942380,15674.01,UK pounds,UK pounds,UK,UK,Credit card,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 15,674.01 UK pounds exceeds threshold of 8,000.00"
74,2026-05-07 12:45:12,6057444675,9106702668,12066.3,UK pounds,UK pounds,UK,UK,ACH,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 12,066.30 UK pounds exceeds threshold of 8,000.00"
75,2026-05-07 12:45:22,4050064188,8496082065,1229.46,UK pounds,UK pounds,UK,UK,Debit card,0,,0,LOW,,
76,2026-05-07 12:45:23,7166052239,8172080174,7004.45,UK pounds,UK pounds,UK,UK,Credit card,1,Structuring/Smurfing; Layering,65,HIGH,Smurfing|Layering,"Smurfing: account '7166052239' made 3 transactions totalling 20,936.24 within 24h (each below 9,999.00 threshold); Fan-in: receiver 8172080174 received from 4 distinct senders within 72h (chain amount: 49,572.83, threshold: 10,000.00)"
77,2026-05-07 12:45:24,315737488,8048071901,10218.65,UK pounds,UK pounds,UK,UK,ACH,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 10,218.65 UK pounds exceeds threshold of 8,000.00"
78,2026-05-07 12:45:27,2023070355,3084479105,946.87,UK pounds,UK pounds,UK,UK,Debit card,0,,0,LOW,,
79,2026-05-07 12:45:29,5982914936,7504808702,16670.04,UK pounds,UK pounds,UK,UK,Cheque,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 16,670.04 UK pounds exceeds threshold of 8,000.00"
80,2026-05-07 12:45:31,7991409048,3993366206,107.09,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0,,0,LOW,,
81,2026-05-07 12:45:33,9734083970,6917865488,13894.37,UK pounds,UK pounds,UK,UK,Credit card,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 13,894.37 UK pounds exceeds threshold of 8,000.00"
82,2026-05-07 12:45:38,8952177221,6345374341,8004.58,UK pounds,UK pounds,UK,UK,Debit card,1,Large-Cash-Transaction; Structuring/Smurfing,65,HIGH,LargeTransaction|Smurfing,"Transaction amount 8,004.58 UK pounds exceeds threshold of 8,000.00; Smurfing: account '8952177221' made 3 transactions totalling 22,623.06 within 24h (each below 9,999.00 threshold)"
83,2026-05-07 12:45:43,3709430533,7472952117,7045.17,UK pounds,UK pounds,UK,UK,Credit card,1,Structuring/Smurfing,40,MEDIUM,Smurfing,"Smurfing: account '3709430533' made 3 transactions totalling 24,671.82 within 24h (each below 9,999.00 threshold)"
84,2026-05-07 12:45:45,1002754336,59113258,2430.48,UK pounds,UK pounds,UK,UK,Cash Deposit,0,,0,LOW,,
85,2026-05-07 12:45:54,125607378,6073604896,1471.77,UK pounds,UK pounds,UK,UK,Credit card,0,,0,LOW,,
86,2026-05-07 12:45:58,6057444675,9018284593,5733.62,UK pounds,UK pounds,UK,UK,Cheque,1,Structuring/Smurfing,40,MEDIUM,Smurfing,"Smurfing: account '6057444675' made 3 transactions totalling 16,504.68 within 24h (each below 9,999.00 threshold)"
87,2026-05-07 12:46:05,1154272532,9040068292,2477.83,UK pounds,UK pounds,UK,UK,Credit card,0,,0,LOW,,
88,2026-05-07 12:46:06,8365941229,6444220418,8402.63,UK pounds,UK pounds,UK,UK,ACH,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 8,402.63 UK pounds exceeds threshold of 8,000.00"
89,2026-05-07 12:46:09,4500681468,4270968526,2401.93,UK pounds,UK pounds,UK,UK,Credit card,0,,0,LOW,,
90,2026-05-07 12:46:10,9734976881,2694436648,5045.65,UK pounds,UK pounds,UK,UK,Cheque,0,,0,LOW,,
91,2026-05-07 12:46:12,9734083970,7577540230,7232.34,UK pounds,UK pounds,UK,UK,Credit card,1,Structuring/Smurfing,40,MEDIUM,Smurfing,"Smurfing: account '9734083970' made 3 transactions totalling 20,070.90 within 24h (each below 9,999.00 threshold)"
92,2026-05-07 12:46:14,5748489103,5971760311,3252.35,UK pounds,US dollar,UK,USA,Cross-border,0,,0,LOW,,
93,2026-05-07 12:46:16,6541552727,5393260130,8298.84,UK pounds,Swiss franc,UK,Switzerland,Cross-border,1,Large-Cash-Transaction; Structuring/Smurfing,65,HIGH,LargeTransaction|Smurfing,"Transaction amount 8,298.84 UK pounds exceeds threshold of 8,000.00; Smurfing: account '6541552727' made 3 transactions totalling 22,868.03 within 24h (each below 9,999.00 threshold)"
94,2026-05-07 12:46:18,5198228620,2010672441,1412.67,UK pounds,UK pounds,UK,UK,Cash Deposit,0,,0,LOW,,
95,2026-05-07 12:46:23,7501327339,9848553102,10366.82,UK pounds,UK pounds,UK,UK,Debit card,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 10,366.82 UK pounds exceeds threshold of 8,000.00"
96,2026-05-07 12:46:24,703647888,1431561040,19782.73,UK pounds,UK pounds,UK,UK,ACH,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 19,782.73 UK pounds exceeds threshold of 8,000.00"
97,2026-05-07 12:46:24,2921862078,5708936901,9590.03,UK pounds,UK pounds,UK,UK,Debit card,1,Large-Cash-Transaction; Structuring/Smurfing,65,HIGH,LargeTransaction|Smurfing,"Transaction amount 9,590.03 UK pounds exceeds threshold of 8,000.00; Smurfing: account '2921862078' made 3 transactions totalling 28,842.96 within 24h (each below 9,999.00 threshold)"
98,2026-05-07 12:46:25,1915450576,3772874052,11061.36,UK pounds,Turkish lira,UK,Turkey,Cross-border,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 11,061.36 UK pounds exceeds threshold of 8,000.00"
99,2026-05-07 12:46:26,6261555351,7796880373,426.82,UK pounds,UK pounds,UK,UK,Cash Deposit,0,,0,LOW,,
100,2026-05-07 12:46:29,6540809965,5579295130,9783.19,Dirham,UK pounds,UAE,UK,Cross-border,0,,0,LOW,,
101,2026-05-07 12:46:38,2365007895,5832927076,9897.61,UK pounds,UK pounds,UK,UK,Credit card,1,Large-Cash-Transaction; Structuring/Smurfing,65,HIGH,LargeTransaction|Smurfing,"Transaction amount 9,897.61 UK pounds exceeds threshold of 8,000.00; Smurfing: account '2365007895' made 3 transactions totalling 28,228.65 within 24h (each below 9,999.00 threshold)"
102,2026-05-07 12:46:39,7421451752,1702377336,6652.68,UK pounds,UK pounds,UK,UK,ACH,1,Structuring/Smurfing,40,MEDIUM,Smurfing,"Smurfing: account '7421451752' made 3 transactions totalling 19,092.12 within 24h (each below 9,999.00 threshold)"
103,2026-05-07 12:46:41,4832545412,1593175702,102.29,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0,,0,LOW,,
104,2026-05-07 12:46:48,9746384104,6973117783,4694.24,UK pounds,Mexican Peso,UK,Mexico,Cross-border,1,Structuring/Smurfing,40,MEDIUM,Smurfing,"Smurfing: account '9746384104' made 3 transactions totalling 16,456.94 within 24h (each below 9,999.00 threshold)"
105,2026-05-07 12:46:52,4611389784,687183818,140.99,UK pounds,UK pounds,UK,UK,Debit card,0,,0,LOW,,
106,2026-05-07 12:46:54,6086421020,8140432476,7760.85,UK pounds,UK pounds,UK,UK,Cheque,1,Structuring/Smurfing,40,MEDIUM,Smurfing,"Smurfing: account '6086421020' made 3 transactions totalling 20,814.16 within 24h (each below 9,999.00 threshold)"
107,2026-05-07 12:46:59,2548803528,4551471712,4316.27,UK pounds,UK pounds,UK,UK,ACH,0,,0,LOW,,
108,2026-05-07 12:47:00,6216316627,5466123934,7893.44,UK pounds,UK pounds,UK,UK,Cheque,1,Structuring/Smurfing,40,MEDIUM,Smurfing,"Smurfing: account '6216316627' made 3 transactions totalling 23,793.03 within 24h (each below 9,999.00 threshold)"
109,2026-05-07 12:47:01,8703231038,4388814424,11259.75,UK pounds,UK pounds,UK,UK,ACH,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 11,259.75 UK pounds exceeds threshold of 8,000.00"
110,2026-05-07 12:47:03,7816440666,822880832,4258.38,UK pounds,UK pounds,UK,UK,ACH,0,,0,LOW,,
111,2026-05-07 12:47:06,4924420105,9564235003,3643.87,UK pounds,UK pounds,UK,UK,ACH,0,,0,LOW,,
112,2026-05-07 12:47:10,1513297635,1526933793,1332.29,UK pounds,UK pounds,UK,UK,Credit card,0,,0,LOW,,
113,2026-05-07 12:47:14,9226756684,5858369125,17468.58,UK pounds,UK pounds,UK,UK,Cheque,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 17,468.58 UK pounds exceeds threshold of 8,000.00"
114,2026-05-07 12:47:18,2118974217,1433435465,1054.58,UK pounds,UK pounds,UK,UK,ACH,0,,0,LOW,,
115,2026-05-07 12:47:18,3299961738,8352571580,10889.98,UK pounds,UK pounds,UK,UK,Debit card,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 10,889.98 UK pounds exceeds threshold of 8,000.00"
116,2026-05-07 12:47:23,3658332196,1465487567,11837.56,UK pounds,UK pounds,UK,UK,Debit card,1,Large-Cash-Transaction; Layering,50,MEDIUM,LargeTransaction|Layering,"Transaction amount 11,837.56 UK pounds exceeds threshold of 8,000.00; Fan-in: receiver 1465487567 received from 4 distinct senders within 72h (chain amount: 47,338.79, threshold: 10,000.00)"
117,2026-05-07 12:47:28,3741000234,1377603863,21999.87,UK pounds,UK pounds,UK,UK,ACH,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 21,999.87 UK pounds exceeds threshold of 8,000.00"
118,2026-05-07 12:47:29,8456279067,8073790137,9845.09,UK pounds,Euro,UK,Germany,Cross-border,1,Large-Cash-Transaction; Structuring/Smurfing,65,HIGH,LargeTransaction|Smurfing,"Transaction amount 9,845.09 UK pounds exceeds threshold of 8,000.00; Smurfing: account '8456279067' made 3 transactions totalling 20,160.03 within 24h (each below 9,999.00 threshold)"
119,2026-05-07 12:47:32,6958721932,5335763850,1820.13,UK pounds,UK pounds,UK,UK,Credit card,0,,0,LOW,,
120,2026-05-07 12:47:34,7327027507,4119784181,9513.93,UK pounds,UK pounds,UK,UK,ACH,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 9,513.93 UK pounds exceeds threshold of 8,000.00"
121,2026-05-07 12:47:36,4939108392,4281746314,5500.32,UK pounds,Turkish lira,UK,Turkey,Cross-border,0,,0,LOW,,
122,2026-05-07 12:47:38,2412955813,5103043844,43228.82,UK pounds,Naira,UK,Nigeria,Cross-border,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 43,228.82 UK pounds exceeds threshold of 8,000.00"
123,2026-05-07 12:47:38,3412872591,9426285596,1091.35,UK pounds,UK pounds,UK,UK,Debit card,0,,0,LOW,,
124,2026-05-07 12:47:42,5691675777,6615179883,16095.05,UK pounds,UK pounds,UK,UK,Cheque,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 16,095.05 UK pounds exceeds threshold of 8,000.00"
125,2026-05-07 12:47:47,5027448664,393509754,7283.77,UK pounds,UK pounds,UK,UK,Cheque,0,,0,LOW,,
126,2026-05-07 12:47:47,7669236826,9616268671,10886.29,UK pounds,UK pounds,UK,UK,Credit card,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 10,886.29 UK pounds exceeds threshold of 8,000.00"
127,2026-05-07 12:47:48,4488382798,1396808599,3714.67,UK pounds,UK pounds,UK,UK,Cash Deposit,0,,0,LOW,,
128,2026-05-07 12:47:49,8465013530,2534644942,16755.42,UK pounds,Euro,UK,France,Cross-border,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 16,755.42 UK pounds exceeds threshold of 8,000.00"
129,2026-05-07 12:47:49,868568688,5708936901,12680.78,UK pounds,UK pounds,UK,UK,ACH,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 12,680.78 UK pounds exceeds threshold of 8,000.00"
130,2026-05-07 12:47:50,9599009457,8900742620,6227.22,UK pounds,Swiss franc,UK,Switzerland,Cross-border,1,Structuring/Smurfing,40,MEDIUM,Smurfing,"Smurfing: account '9599009457' made 3 transactions totalling 16,606.51 within 24h (each below 9,999.00 threshold)"
131,2026-05-07 12:47:51,7429893910,5219812723,6214.48,UK pounds,UK pounds,UK,UK,Credit card,0,,0,LOW,,
132,2026-05-07 12:47:53,7421451752,1702377336,6618.68,UK pounds,UK pounds,UK,UK,Cheque,1,Structuring/Smurfing,40,MEDIUM,Smurfing,"Smurfing: account '7421451752' made 3 transactions totalling 19,092.12 within 24h (each below 9,999.00 threshold)"
133,2026-05-07 12:47:54,2365007895,2812285491,13216.96,UK pounds,UK pounds,UK,UK,ACH,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 13,216.96 UK pounds exceeds threshold of 8,000.00"
134,2026-05-07 12:47:57,2092970761,4161896327,361605.65,UK pounds,UK pounds,UK,UK,Cheque,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 361,605.65 UK pounds exceeds threshold of 8,000.00"
135,2026-05-07 12:47:57,4117755003,6646502650,8562.84,UK pounds,Euro,UK,France,Cross-border,1,Large-Cash-Transaction; Structuring/Smurfing,65,HIGH,LargeTransaction|Smurfing,"Transaction amount 8,562.84 UK pounds exceeds threshold of 8,000.00; Smurfing: account '4117755003' made 3 transactions totalling 25,468.32 within 24h (each below 9,999.00 threshold)"
