Customer Id,Account Number,Full Name,Date of Birth,Occupation,Complete Address,Total Income Per Annum,Passport/Gov ID Proof,Is_Flagged,Flag_Type,Flag_Reason,Risk_Category,Risk_Score
CUST661652,8960679541,Victor Kakar,13-05-1978,Restaurant / Hotel Owner,"Flat No. 42D, Soman, Ville Nagar, Aurangabad, Uttarakhand - 738543, India",860572,Voter ID: AHD7739741,FALSE,NONE,,CLEAN,7
CUST820420,604321999,Amara Rana,14-09-1990,Stockbroker,"Flat No. 19D, Saxena Road, Ville Nagar, Haridwar, Rajasthan - 998392, India",4924171,Aadhaar Card: XXXX-XXXX-8793,FALSE,NONE,,CLEAN,12
CUST202108,6298543467,Advaith Nadkarni,28-08-1977,Banker,"Flat No. 21A, Gola Marg, Ville Nagar, Jabalpur, Maharashtra - 750925, India",1337606,Passport: E2830473,FALSE,NONE,,CLEAN,13
CUST133642,621060264,Keya Venkatesh,16-09-1984,Pharmacist,"Flat No. 19C, Sunder Road, Ville Nagar, Mahbubnagar, Tamil Nadu - 870109, India",1415491,Aadhaar Card: XXXX-XXXX-2509,FALSE,NONE,,CLEAN,10
CUST353013,4833559204,Pallavi Acharya,27-08-1962,Travel Agent,"Flat No. 45D, Mital Ganj, Ville Nagar, Deoghar, Punjab - 159404, India",1391253,Aadhaar Card: XXXX-XXXX-5590,FALSE,NONE,,CLEAN,7
CUST135466,8047909179,Jeet Pillai,2/11/2000,Stockbroker,"Flat No. 49A, Ratta Marg, Ville Nagar, Sonipat, Punjab - 244170, India",8302612,PAN Card: BDFLB8916V,FALSE,NONE,,CLEAN,19
CUST199807,5263982631,Tripti Walia,5/2/1974,Software Engineer,"Flat No. 38B, Pandya Path, Ville Nagar, Nellore, Jharkhand - 813013, India",2990306,Voter ID: ASV8085252,FALSE,NONE,,CLEAN,4
CUST806848,8769747914,Atharv Nagar,11/2/1967,Government Employee,"Flat No. 24C, Kanda, Ville Nagar, Howrah, West Bengal - 675210, India",897859,Passport: H5519920,FALSE,NONE,,CLEAN,11
CUST497877,8848119674,Nicholas Raj,15-07-1972,Journalist,"Flat No. 2A, Khanna Chowk, Ville Nagar, Parbhani, Himachal Pradesh - 151226, India",171172,Aadhaar Card: XXXX-XXXX-5280,FALSE,NONE,,CLEAN,5
CUST280572,5468170213,Mason Solanki,27-12-2003,Construction Contractor,"Flat No. 8B, Goda Nagar, Ville Nagar, Guntur, Gujarat - 998435, India",819484,PAN Card: RHFZL2830C,FALSE,NONE,,CLEAN,2
CUST309374,8965293680,Falan Bava,21-03-1991,Chartered Accountant,"Flat No. 19A, Sachar Nagar, Ville Nagar, Jabalpur, Odisha - 984756, India",1415886,Aadhaar Card: XXXX-XXXX-6052,FALSE,NONE,,CLEAN,6
CUST155164,4773187916,Nathan Mukhopadhyay,2/10/1956,Lawyer,"Flat No. 44A, Atwal Circle, Ville Nagar, Kamarhati, Delhi - 564637, India",2520449,Voter ID: MLH9595744,FALSE,NONE,,CLEAN,0
CUST640659,4564291666,Avi Som,15-06-1960,Farmer,"Flat No. 32C, Kari Road, Ville Nagar, Tirunelveli, Uttarakhand - 102593, India",295870,Aadhaar Card: XXXX-XXXX-8511,FALSE,NONE,,CLEAN,0
CUST307897,8169244844,Vrishti Vora,13-01-1994,Retail Trader,"Flat No. 40D, Kunda, Ville Nagar, Korba, Himachal Pradesh - 372795, India",517662,PAN Card: CJYDS8129Y,FALSE,NONE,,CLEAN,9
CUST844007,5345734817,Dominic Date,10/5/1970,Doctor,"Flat No. 11B, Nair Road, Ville Nagar, Malda, Bihar - 633469, India",5813710,PAN Card: DFDUA7044O,FALSE,NONE,,CLEAN,0
CUST611552,7326442087,Watika Tank,14-09-1970,Software Engineer,"Flat No. 1A, Venkataraman Path, Ville Nagar, Khandwa, Jharkhand - 857273, India",1255468,Passport: R5809835,FALSE,NONE,,CLEAN,17
CUST882597,6100571572,Yutika Wagle,7/1/2003,Lawyer,"Flat No. 4B, Sami Marg, Ville Nagar, Rewa, Bihar - 509563, India",4777875,Voter ID: WCW1457506,FALSE,NONE,,CLEAN,13
CUST525468,9261836642,Rajeshri Deshpande,1/11/1956,Stockbroker,"Flat No. 31B, Devan Zila, Ville Nagar, Mahbubnagar, Andhra Pradesh - 338633, India",6065004,PAN Card: SFGPO8679X,FALSE,NONE,,CLEAN,10
CUST800822,7517403696,Vinaya Ramanathan,9/10/1971,Army Personnel,"Flat No. 49B, Dutta Road, Ville Nagar, Naihati, Kerala - 542521, India",1045172,Passport: V3436404,FALSE,NONE,,CLEAN,0
CUST113595,6677092537,Jyoti Sha,28-10-1992,Farmer,"Flat No. 50D, Narang Chowk, Ville Nagar, Berhampore, Madhya Pradesh - 764575, India",281775,Passport: Y4296204,FALSE,NONE,,CLEAN,14
CUST772844,1732858296,Dalaja Shan,23-12-2002,Journalist,"Flat No. 17C, Pingle Ganj, Ville Nagar, Hajipur, Karnataka - 699975, India",358820,Aadhaar Card: XXXX-XXXX-8713,FALSE,NONE,,CLEAN,5
CUST585854,4345338937,Devansh Bhasin,6/2/1997,Retail Trader,"Flat No. 44C, Sodhi Zila, Ville Nagar, Alappuzha, Himachal Pradesh - 142288, India",596946,PAN Card: VICGJ9412B,FALSE,NONE,,CLEAN,15
CUST126885,3787011727,Darika Bail,5/10/1964,Civil Engineer,"Flat No. 2A, Banerjee, Ville Nagar, Nizamabad, Uttarakhand - 500980, India",512098,Aadhaar Card: XXXX-XXXX-3138,FALSE,NONE,,CLEAN,11
CUST575774,320635316,Zayyan Prakash,14-04-1987,Chartered Accountant,"Flat No. 23C, Nazareth, Ville Nagar, Dewas, Assam - 484502, India",2390167,Voter ID: HYF1453692,FALSE,NONE,,CLEAN,2
CUST569001,1754308893,Abdul Hamid Al-Yemeni,2/10/1984,Retail Trader,"Block 39, Street 61, Baghdad, Iraq",2200000,National ID: NID-20006962,TRUE,SANCTIONED,UN SDN - Houthi financial network member,SANCTIONED,93
CUST293560,6244231175,Dhriti Guha,3/7/1991,Banker,"Flat No. 47B, Sahni Marg, Ville Nagar, Hospet, Gujarat - 817974, India",1399428,Driving Licence: VJ71 20142769768,FALSE,NONE,,CLEAN,19
CUST569380,5528340432,Parth Bhattacharyya,18-03-1968,Civil Engineer,"Flat No. 14A, Dave, Ville Nagar, Rampur, Himachal Pradesh - 740419, India",732060,Passport: E1334200,FALSE,NONE,,CLEAN,18
CUST916344,8898696157,Sanaya Khosla,16-09-1975,Software Engineer,"Flat No. 37C, Kohli, Ville Nagar, Eluru, Punjab - 470057, India",5133156,Passport: J3810320,FALSE,NONE,,CLEAN,4
CUST987600,6000919396,Leela Sahota,5/8/1975,Nurse / Healthcare Worker,"Flat No. 10D, Tank Circle, Ville Nagar, Yamunanagar, Punjab - 125668, India",393072,PAN Card: UJWDJ8116Z,FALSE,NONE,,CLEAN,20
CUST790266,6002441648,Advik Virk,17-04-1980,Police Officer,"Flat No. 44D, Chowdhury Marg, Ville Nagar, Siliguri, Assam - 261618, India",1358835,Driving Licence: HK51 20129652490,FALSE,NONE,,CLEAN,14
CUST403742,5435316010,Mohammed Subramaniam,26-04-1974,Import-Export Dealer,"Flat No. 44D, Chokshi Ganj, Ville Nagar, Raipur, Telangana - 575575, India",3734149,Aadhaar Card: XXXX-XXXX-1981,FALSE,NONE,,CLEAN,4
CUST763354,3091109715,Lucky Kibe,8/6/1966,Shop Owner,"Flat No. 4A, Kade Chowk, Ville Nagar, Ozhukarai, Punjab - 268049, India",466486,PAN Card: DDETL8837W,FALSE,NONE,,CLEAN,5
CUST266643,5816813063,Darsh Uppal,6/2/1973,Restaurant / Hotel Owner,"Flat No. 35C, Behl Marg, Ville Nagar, Agartala, West Bengal - 876043, India",1329622,Passport: V7680763,FALSE,NONE,,CLEAN,13
CUST684829,7199625988,Oscar Sachdev,2/3/1959,Financial Advisor,"Flat No. 27C, Suresh Circle, Ville Nagar, Solapur, Himachal Pradesh - 498763, India",2949418,Driving Licence: GJ77 20148335650,FALSE,NONE,,CLEAN,12
CUST586017,1726009446,Pallavi Sarraf,25-10-1958,Civil Engineer,"Flat No. 34C, Saha Chowk, Ville Nagar, Dibrugarh, West Bengal - 499812, India",1100417,Voter ID: TYD1254735,FALSE,NONE,,CLEAN,19
CUST201987,9598349393,Ekanta Thaman,23-11-1961,Architect,"Flat No. 50D, Sahota Marg, Ville Nagar, Sikar, Odisha - 342948, India",825469,PAN Card: DXGJE6412Z,FALSE,NONE,,CLEAN,0
CUST764532,6375216043,Qabil Sura,6/8/1998,Construction Contractor,"Flat No. 45C, Pant Ganj, Ville Nagar, Parbhani, Maharashtra - 148225, India",1414965,Passport: Z1941524,FALSE,NONE,,CLEAN,11
CUST506272,4788192514,Gagan Tara,7/4/1957,Film / Media Professional,"Flat No. 49C, Sha Zila, Ville Nagar, Sagar, Rajasthan - 722076, India",2095312,Passport: L8780933,FALSE,NONE,,CLEAN,20
CUST114338,4339554565,Tejas Shroff,27-04-1999,Police Officer,"Flat No. 8D, Pillay Road, Ville Nagar, Ujjain, Uttar Pradesh - 779172, India",927809,PAN Card: MSNHV8736H,FALSE,NONE,,CLEAN,12
CUST387892,3776976361,Owen Choudhary,22-02-2001,Import-Export Dealer,"Flat No. 41D, Deep Nagar, Ville Nagar, Patiala, Bihar - 638009, India",7839397,PAN Card: YDPUA2101H,FALSE,NONE,,CLEAN,17
CUST425498,8410434333,Hemal Jani,1/3/1992,Banker,"Flat No. 3B, Tiwari Road, Ville Nagar, Faridabad, Odisha - 740967, India",1345742,Aadhaar Card: XXXX-XXXX-8461,FALSE,NONE,,CLEAN,17
CUST710756,4505551578,Ikshita Sule,5/11/1978,Architect,"Flat No. 4C, Gole Circle, Ville Nagar, Jalna, Madhya Pradesh - 768470, India",1173262,Passport: I1282157,FALSE,NONE,,CLEAN,6
CUST293929,6109062028,Abhimanyu Virk,23-08-1964,Film / Media Professional,"Flat No. 41A, Venkatesh Zila, Ville Nagar, Tiruppur, Tamil Nadu - 503575, India",4307312,Passport: Q1548852,FALSE,NONE,,CLEAN,9
CUST429824,2478171027,Vinaya Cheema,7/1/1956,Journalist,"Flat No. 28B, Joshi Path, Ville Nagar, Malda, Haryana - 719110, India",254177,PAN Card: QHGAF8193I,FALSE,NONE,,CLEAN,9
CUST970840,9187235128,Inaya Kala,14-05-1969,Lawyer,"Flat No. 14C, Jaggi Nagar, Ville Nagar, Jabalpur, Kerala - 766023, India",7282359,Passport: Y8595349,FALSE,NONE,,CLEAN,12
CUST652049,2755709071,Urvi Palan,4/8/1967,Farmer,"Flat No. 34C, Sawhney Marg, Ville Nagar, Maheshtala, Uttarakhand - 395694, India",310720,Driving Licence: HC16 20145834660,FALSE,NONE,,CLEAN,16
CUST962276,8952177221,Chakrika Datta,21-06-1977,Journalist,"Flat No. 30B, Salvi Ganj, Ville Nagar, Tadepalligudem, Punjab - 284692, India",205332,Driving Licence: ZH78 20229787873,FALSE,NONE,,CLEAN,17
CUST765320,6840221462,Janya Comar,7/5/1976,Business Analyst,"Flat No. 49B, Iyengar, Ville Nagar, Surendranagar Dudhrej, Uttarakhand - 901619, India",504942,PAN Card: MTCPQ7609N,FALSE,NONE,,CLEAN,5
CUST357728,6655467533,Triveni Dar,23-02-1959,Architect,"Flat No. 16B, Nagar Street, Ville Nagar, Amroha, Himachal Pradesh - 891164, India",683652,Aadhaar Card: XXXX-XXXX-2098,FALSE,NONE,,CLEAN,1
CUST967412,5594636802,Zehaan Srivastava,14-09-1973,Real Estate Agent,"Flat No. 28A, Issac Road, Ville Nagar, Bellary, Rajasthan - 267099, India",986706,Passport: E1488919,FALSE,NONE,,CLEAN,4
CUST153872,2206902878,Nathan Soman,13-02-1997,Retail Trader,"Flat No. 32A, Lad Chowk, Ville Nagar, Saharsa, Uttarakhand - 760021, India",400467,Aadhaar Card: XXXX-XXXX-3485,FALSE,NONE,,CLEAN,16
CUST385577,2004133484,Chandresh Zachariah,11/12/1991,Real Estate Agent,"Flat No. 14C, Chander Nagar, Ville Nagar, Vellore, Jharkhand - 612262, India",1134210,Passport: B2548511,FALSE,NONE,,CLEAN,2
CUST930244,6726011110,Divya Seshadri,17-05-1964,Financial Advisor,"Flat No. 36B, Bera, Ville Nagar, Shivpuri, Haryana - 457411, India",6393103,Passport: B4739945,FALSE,NONE,,CLEAN,12
CUST484087,6943673047,Farhan Kala,6/12/1957,Travel Agent,"Flat No. 24C, Mall Street, Ville Nagar, Karaikudi, Rajasthan - 172973, India",1040345,Driving Licence: FV79 20128416898,FALSE,NONE,,CLEAN,12
CUST190275,2366204772,Bhanumati Iyer,16-03-1975,Real Estate Agent,"Flat No. 28A, Madan, Ville Nagar, Bangalore, Uttar Pradesh - 274174, India",1307111,PAN Card: TLMAL4975G,FALSE,NONE,,CLEAN,13
CUST417003,1937509788,Sachi Sem,25-01-1981,Teacher / Professor,"Flat No. 13A, Tara Zila, Ville Nagar, Kochi, Haryana - 630573, India",208841,Aadhaar Card: XXXX-XXXX-8907,FALSE,NONE,,CLEAN,12
CUST364178,2335777366,Zehaan Menon,23-11-1984,Chartered Accountant,"Flat No. 25B, Borra Chowk, Ville Nagar, Purnia, Kerala - 283847, India",6232050,Passport: V9088805,FALSE,NONE,,CLEAN,18
CUST324643,2047410771,Neel Zacharia,19-10-1958,Police Officer,"Flat No. 31B, Acharya Circle, Ville Nagar, Surat, Odisha - 946721, India",638739,Voter ID: ECL8106470,FALSE,NONE,,CLEAN,8
CUST956429,578839168,Kevin Sridhar,1/3/1961,Doctor,"Flat No. 30C, Karnik Zila, Ville Nagar, Kota, Karnataka - 191772, India",7465374,Aadhaar Card: XXXX-XXXX-1889,FALSE,NONE,,CLEAN,8
CUST936979,8352571580,Jatin Chada,17-11-1974,Business Analyst,"Flat No. 34D, Bera Ganj, Ville Nagar, Ambala, Kerala - 382258, India",1136592,PAN Card: VHGGT6930H,FALSE,NONE,,CLEAN,0
CUST954551,8250843541,Rudra Sengupta,13-07-1997,Shop Owner,"Flat No. 30C, Sanghvi, Ville Nagar, Kakinada, Andhra Pradesh - 823415, India",245876,Voter ID: UQU2896774,FALSE,NONE,,CLEAN,14
CUST246606,3066321263,Aryan Gola,19-06-1984,Architect,"Flat No. 25A, Kaur Chowk, Ville Nagar, Secunderabad, Kerala - 835354, India",1115326,Aadhaar Card: XXXX-XXXX-6879,FALSE,NONE,,CLEAN,3
CUST299254,1448960940,Lila Prakash,8/8/1957,Farmer,"Flat No. 45B, Babu Road, Ville Nagar, Hapur, Andhra Pradesh - 350956, India",211507,Driving Licence: IH69 20243250615,FALSE,NONE,,CLEAN,4
CUST726615,3263399801,Yachana Mohan,2/12/1986,Financial Advisor,"Flat No. 48B, Sampath Ganj, Ville Nagar, Tiruchirappalli, Jharkhand - 937653, India",2209673,Driving Licence: HU64 20102929709,FALSE,NONE,,CLEAN,2
CUST881206,27721201,Sanya Edwin,9/6/1984,Self-Employed Consultant,"Flat No. 33D, Kala Zila, Ville Nagar, Jamalpur, Delhi - 157105, India",268194,Aadhaar Card: XXXX-XXXX-7108,FALSE,NONE,,CLEAN,14
CUST290553,210242051,Xalak Guha,12/11/1971,Entrepreneur,"Flat No. 29D, Kakar Nagar, Ville Nagar, Tiruchirappalli, Punjab - 725119, India",5660153,Passport: P1498015,FALSE,NONE,,CLEAN,13
CUST748513,8977087076,Pratyush Pai,3/2/1992,Construction Contractor,"Flat No. 46D, Rau Circle, Ville Nagar, Rampur, Delhi - 252846, India",579623,Passport: R6935773,FALSE,NONE,,CLEAN,17
CUST617806,6034997194,Pallavi Kunda,23-05-1979,Financial Advisor,"Flat No. 30D, Chandran Zila, Ville Nagar, Thoothukudi, Uttar Pradesh - 984028, India",1594875,Passport: T2723751,FALSE,NONE,,CLEAN,20
CUST209996,7879979420,Anamika Chad,5/10/1979,Jewellery Trader,"Flat No. 47A, Borah Zila, Ville Nagar, Kanpur, Jharkhand - 782939, India",3422214,PAN Card: BOIKL1646R,FALSE,NONE,,CLEAN,14
CUST378527,2865033012,Rachana Ramesh,10/2/1982,Import-Export Dealer,"Flat No. 33A, Raja Path, Ville Nagar, Raebareli, Delhi - 338804, India",1836598,Aadhaar Card: XXXX-XXXX-2942,FALSE,NONE,,CLEAN,15
CUST350369,617552602,Teerth Chauhan,28-10-1977,Jewellery Trader,"Flat No. 39D, Mall Circle, Ville Nagar, Raebareli, Haryana - 323753, India",3787837,PAN Card: CCSLT7299T,FALSE,NONE,,CLEAN,19
CUST745483,1476842177,Zayyan Johal,26-12-1989,Pharmacist,"Flat No. 4C, Basu Circle, Ville Nagar, Srinagar, Uttarakhand - 595890, India",1065347,PAN Card: TLTUH1749T,FALSE,NONE,,CLEAN,10
CUST497073,2155777605,Zinal Madan,11/3/2002,Police Officer,"Flat No. 37B, Devan, Ville Nagar, Sasaram, West Bengal - 251631, India",899095,PAN Card: TBISY5731U,FALSE,NONE,,CLEAN,13
CUST552248,3510078932,Yashawini Lanka,11/10/1983,Doctor,"Flat No. 43A, Palla Street, Ville Nagar, Uluberia, Telangana - 631756, India",6772029,Passport: V7851696,FALSE,NONE,,CLEAN,2
CUST627916,5522856978,Omkaar Anne,12/8/1968,Pharmacist,"Flat No. 44B, Prasad Ganj, Ville Nagar, Shahjahanpur, Bihar - 799764, India",1405574,Driving Licence: JG78 20205856384,FALSE,NONE,,CLEAN,5
CUST725165,3325153054,Jack Mannan,10/11/1957,Film / Media Professional,"Flat No. 24D, Choudhury Zila, Ville Nagar, Guntakal, West Bengal - 539604, India",2960144,PAN Card: ENDVR6981D,FALSE,NONE,,CLEAN,6
CUST488363,954297398,Benjamin Halder,8/11/1998,Business Analyst,"Flat No. 1D, Sehgal Ganj, Ville Nagar, Bongaigaon, Maharashtra - 690045, India",650456,Aadhaar Card: XXXX-XXXX-7349,FALSE,NONE,,CLEAN,0
CUST765748,7116272472,Anvi Saxena,27-04-1965,Import-Export Dealer,"Flat No. 49B, Apte Path, Ville Nagar, Gwalior, Assam - 739280, India",8405317,Voter ID: WHY7725530,FALSE,NONE,,CLEAN,19
CUST372417,2451985850,Hiroshi Tanaka Yamamoto,10/2/1983,Central Bank Board Member,"Flat No. 20A, Chennai, India",11000000,Passport: L9443191,TRUE,PEP,"Foreign PEP - Board Member, Bank of Japan",PEP,85
CUST336800,8407065812,Jalsa Sani,3/12/1986,Doctor,"Flat No. 23B, Lall Road, Ville Nagar, Junagadh, Rajasthan - 828723, India",3413015,Aadhaar Card: XXXX-XXXX-2231,FALSE,NONE,,CLEAN,15
CUST848152,2836869610,Fiyaz Chawla,25-05-1967,Self-Employed Consultant,"Flat No. 42D, Dugal Road, Ville Nagar, Tirupati, Bihar - 598940, India",455092,Driving Licence: YZ75 20174864134,FALSE,NONE,,CLEAN,6
CUST757685,7166671719,Nimrat Dubey,16-02-1976,Shop Owner,"Flat No. 29C, Singh Zila, Ville Nagar, Sikar, Delhi - 720148, India",229145,Aadhaar Card: XXXX-XXXX-6766,FALSE,NONE,,CLEAN,4
CUST790130,9600420220,Samarth Devi,17-01-1985,Software Engineer,"Flat No. 19D, Khare Path, Ville Nagar, Amaravati, Gujarat - 705103, India",3283202,Voter ID: SNZ6907545,FALSE,NONE,,CLEAN,3
CUST224099,6855935396,Jeevika Goyal,5/10/2002,Entrepreneur,"Flat No. 12D, Chhabra Chowk, Ville Nagar, Nadiad, Jharkhand - 451109, India",1911390,Driving Licence: EL95 20180950407,FALSE,NONE,,CLEAN,13
CUST782872,3849206129,Tristan Dixit,4/10/1958,Software Engineer,"Flat No. 44B, Ahluwalia, Ville Nagar, Thane, Andhra Pradesh - 547858, India",4238570,PAN Card: YCZEB9444U,FALSE,NONE,,CLEAN,15
CUST226120,2042062597,Inaya Sankar,7/8/1967,Retail Trader,"Flat No. 6C, Mitter Chowk, Ville Nagar, Pimpri-Chinchwad, Madhya Pradesh - 741491, India",487127,Aadhaar Card: XXXX-XXXX-2532,FALSE,NONE,,CLEAN,0
CUST583550,3137540462,Vamakshi Swaminathan,22-05-1975,Import-Export Dealer,"Flat No. 1D, Badal Chowk, Ville Nagar, Korba, Telangana - 810526, India",3330516,Driving Licence: EL54 20257725078,FALSE,NONE,,CLEAN,3
CUST668373,6476585772,Ati Dani,15-12-2002,Stockbroker,"Flat No. 35B, Chatterjee Street, Ville Nagar, Sonipat, Punjab - 207391, India",7548383,PAN Card: HZLJV8193D,FALSE,NONE,,CLEAN,15
CUST711019,3293364553,Rashid Mukhtar Dadaev,24-11-1971,Entrepreneur,"Block 23, Street 61, Sana'a, Yemen",4100000,Passport: F1635058,TRUE,SANCTIONED,EU SDN - Financing extremist operations,SANCTIONED,99
CUST442737,8777101435,Harrison Sankar,19-10-2003,Nurse / Healthcare Worker,"Flat No. 24A, Hora Chowk, Ville Nagar, Bulandshahr, West Bengal - 297637, India",310570,Driving Licence: MN54 20126029053,FALSE,NONE,,CLEAN,9
CUST457546,8519194353,Aditya Pathak,22-08-1969,Film / Media Professional,"Flat No. 7C, Chaudry, Ville Nagar, Purnia, Jharkhand - 375632, India",5288231,Aadhaar Card: XXXX-XXXX-6987,FALSE,NONE,,CLEAN,13
