Sanction_ID,Entity_Type,Primary_Name,AKA_Names,Date_of_Birth,Nationality,Country_of_Residence,Passport_ID,List_Source,Program,Designation_Category,Designation_Reason,Date_Added_to_List,Date_Last_Updated,Status,Remarks
EU-949014,Individual,Igor Sechin Vladimirovich,Vladimirovich Sechin Igor | Igor Vladimirovich | Al-Amin,10-05-1956,Russian,Russia,D9261828,OFAC SDN,RUSSIA-EO14024,Illicit Finance - Energy Sector,Illicit Finance - Energy Sector - Designated under OFAC SDN (RUSSIA-EO14024),15-08-2004,24-03-2023,Active,
IRP-450784,Individual,Nikolai Patrushev Jr.,Jr. Patrushev Nikolai | Nikolai Jr.,26-06-1949,Russian,Russia,B7319231,EU Consolidated,EU Russia Sanctions,Corruption / Kleptocracy,Corruption / Kleptocracy - Designated under EU Consolidated (EU Russia Sanctions),08-09-2016,09-04-2024,Active,
OFAC-900798,Individual,Mikhail Fridman Maratovich,Maratovich Fridman Mikhail | Mikhail Maratovich | Abu Hassan,13-12-1973,Russian,Russia,N9594502,UK HMT,UK Russia,Illicit Finance - Energy Sector,Illicit Finance - Energy Sector - Designated under UK HMT (UK Russia),17-05-2020,11-04-2024,Active,
UN-353509,Individual,Yevgeny Prigozhin Wagner,Wagner Prigozhin Yevgeny | Yevgeny Wagner,06-05-1950,Russian,Russia,S2576328,OFAC SDN,RUSSIA-EO14024,Terrorism Financing,Terrorism Financing - Designated under OFAC SDN (RUSSIA-EO14024),08-09-2015,28-02-2023,Active,Cross-listed on UN list
ED-415067,Individual,Roman Abramovich Vladimirovich,Vladimirovich Abramovich Roman | Roman Vladimirovich,06-05-1988,Russian,Russia,S8224753,EU Consolidated,EU Russia Sanctions,Corruption / Kleptocracy,Corruption / Kleptocracy - Designated under EU Consolidated (EU Russia Sanctions),02-12-2023,14-03-2023,Active,
HMT-177617,Individual,Alisher Usmanov Burhanovich,Burhanovich Usmanov Alisher | Alisher Burhanovich | Al-Libi,08-10-1981,Russian,Russia,K8292485,EU Consolidated,EU Russia Sanctions,Corruption / Kleptocracy,Corruption / Kleptocracy - Designated under EU Consolidated (EU Russia Sanctions),26-07-2023,06-07-2023,Active,Cross-listed on UK HMT list
UN-850223,Individual,Viktor Vekselberg Felixovich,Felixovich Vekselberg Viktor | Viktor Felixovich | Al-Muhajir,20-07-1985,Russian,Russia,G3912159,OFAC SDN,RUSSIA-EO14024,Illicit Finance - Energy Sector,Illicit Finance - Energy Sector - Designated under OFAC SDN (RUSSIA-EO14024),22-07-2019,23-05-2024,Active,Cross-listed on OFAC list
UN-352187,Individual,Andrei Kostin Leonidovich,Leonidovich Kostin Andrei | Andrei Leonidovich | Abu Omar,22-04-1958,Russian,Russia,W8063161,OFAC SDN,RUSSIA-EO14024,Illicit Finance - Energy Sector,Illicit Finance - Energy Sector - Designated under OFAC SDN (RUSSIA-EO14024),05-08-2015,29-05-2023,Active,
EU-619775,Individual,Qassem Soleimani Hajj,Hajj Soleimani Qassem | Qassem Hajj | Abu Khalid,26-02-1979,Iranian,Iran,U1496608,OFAC SDN,IRGC,Terrorism Financing,Terrorism Financing - Designated under OFAC SDN (IRGC),24-05-2004,07-10-2024,Active,
UN-381255,Individual,Mohammad Reza Naqdi,Naqdi Reza Mohammad | Mohammad Naqdi | Abu Omar,01-05-1949,Iranian,Iran,S9897200,OFAC SDN,IRGC,Terrorism Financing,Terrorism Financing - Designated under OFAC SDN (IRGC),11-04-2019,16-01-2025,Active,Cross-listed on EU list
FIU-373026,Individual,Hussein Salami General,General Salami Hussein | Hussein General,02-08-1979,Iranian,Iran,A6955061,OFAC SDN,IRGC,WMD Proliferation,WMD Proliferation - Designated under OFAC SDN (IRGC),22-08-2016,10-06-2023,Active,Cross-listed on EU list
EU-493495,Individual,Saeed Mohammed Jalili,Jalili Mohammed Saeed | Saeed Jalili | Al-Amin,05-09-1976,Iranian,Iran,Y2242539,OFAC SDN,IRAN,Sanctions Evasion,Sanctions Evasion - Designated under OFAC SDN (IRAN),12-12-2006,09-03-2024,Active,Cross-listed on OFAC list
ED-100778,Individual,Brig-Gen Esmail Qaani,Qaani Esmail Brig-Gen | Brig-Gen Qaani,22-02-1964,Iranian,Iran,N2358362,OFAC SDN,IRGC,Terrorism Financing,Terrorism Financing - Designated under OFAC SDN (IRGC),22-04-2019,27-01-2025,Active,
HMT-904964,Individual,Ali Shamkhani Admiral,Admiral Shamkhani Ali | Ali Admiral | Abu Khalid,09-11-1956,Iranian,Iran,K6785997,OFAC SDN,IRAN,WMD Proliferation,WMD Proliferation - Designated under OFAC SDN (IRAN),16-02-2009,23-12-2025,Active,Cross-listed on EU list
FIU-207446,Individual,Choe Son Hui Minister,Minister Hui Son Choe | Choe Minister,20-05-1974,North Korean,North Korea,T5078610,OFAC SDN,DPRK,WMD Proliferation,WMD Proliferation - Designated under OFAC SDN (DPRK),01-12-2017,29-06-2025,Active,
EU-181407,Individual,Pak Jong Chon General,General Chon Jong Pak | Pak General,24-02-1967,North Korean,North Korea,A5736182,UN 1267,Al-Qaida,WMD Proliferation,WMD Proliferation - Designated under UN 1267 (Al-Qaida),26-03-2023,23-06-2025,Active,
EU-634410,Individual,Kim Jong Sik Scientist,Scientist Sik Jong Kim | Kim Scientist | Al-Muhajir,23-10-1976,North Korean,North Korea,R2775714,OFAC SDN,DPRK,WMD Proliferation,WMD Proliferation - Designated under OFAC SDN (DPRK),20-05-2020,02-03-2024,Active,
HMT-454932,Individual,Ri Yong Ho Minister,Minister Ho Yong Ri | Ri Minister,23-02-1953,North Korean,North Korea,A1797829,OFAC SDN,DPRK,Sanctions Evasion,Sanctions Evasion - Designated under OFAC SDN (DPRK),23-03-2017,23-09-2023,Active,Cross-listed on OFAC list
OFAC-227258,Individual,Jang Song Thaek,Thaek Song Jang | Jang Thaek | Al-Libi,07-04-1971,North Korean,North Korea,V2793822,OFAC SDN,DPRK,Cybercrime,Cybercrime - Designated under OFAC SDN (DPRK),16-08-2021,10-08-2024,Active,
ED-400774,Individual,Ismael Zambada Garcia,Garcia Zambada Ismael | Ismael Garcia | Al-Masri,14-12-1980,Mexican,Mexico,D6196977,OFAC SDN,NARCOTICS,Narcotics Trafficking,Narcotics Trafficking - Designated under OFAC SDN (NARCOTICS),11-11-2019,07-05-2025,Active,Cross-listed on EU list
EU-990108,Individual,Nemesio Oseguera Cervantes,Cervantes Oseguera Nemesio | Nemesio Cervantes | Abu Hassan,24-05-1981,Mexican,Mexico,D1589321,OFAC SDN,TCO,Narcotics Trafficking,Narcotics Trafficking - Designated under OFAC SDN (TCO),31-07-2021,24-05-2023,Active,Cross-listed on EU list
FIU-607876,Individual,Juan Antonio Arzate Garcia,Garcia Arzate Antonio Juan | Juan Garcia,10-09-1978,Mexican,Mexico,O5232601,OFAC SDN,TCO,Narcotics Trafficking,Narcotics Trafficking - Designated under OFAC SDN (TCO),25-03-2017,13-01-2024,Active,Cross-listed on EU list
FIU-235005,Individual,Juan Orlando Hernandez Alvarado,Alvarado Hernandez Orlando Juan | Juan Alvarado,20-04-1959,Honduran,Honduras,L9657814,OFAC SDN,NARCOTICS,Narcotics Trafficking,Narcotics Trafficking - Designated under OFAC SDN (NARCOTICS),19-06-2015,09-06-2025,Active,
EU-860131,Individual,Dairo Antonio Usuga David,David Usuga Antonio Dairo | Dairo David | Abu Khalid,26-10-1966,Colombian,Colombia,C1176896,OFAC SDN,TCO,Narcotics Trafficking,Narcotics Trafficking - Designated under OFAC SDN (TCO),19-07-2012,26-07-2025,Active,Cross-listed on OFAC list
IRP-353439,Individual,Otoniel Vargas alias,alias Vargas Otoniel | Otoniel alias | Al-Masri,04-04-1972,Colombian,Colombia,E5325415,Interpol RN,Red Notice,Organised Crime / Mafia,Organised Crime / Mafia - Designated under Interpol RN (Red Notice),20-11-2006,25-01-2024,Active,Cross-listed on UN list
EU-524167,Individual,Semion Mogilevich,Mogilevich Semion | Al-Libi,02-09-1970,Ukrainian,Ukraine,O5196129,Interpol RN,Red Notice,Organised Crime / Mafia,Organised Crime / Mafia - Designated under Interpol RN (Red Notice),29-10-2016,16-12-2024,Active,Cross-listed on EU list
ED-680190,Individual,Mukhtar Hamid Shah,Shah Hamid Mukhtar | Mukhtar Shah,28-04-1948,Pakistani,Pakistan,G9776536,OFAC SDN,SDGT,Terrorism Financing,Terrorism Financing - Designated under OFAC SDN (SDGT),10-02-2019,02-09-2025,Active,
FIU-285224,Individual,Ali Hassan Al-Turki,Al-Turki Hassan Ali | Ali Al-Turki | Abu Khalid,10-09-1958,Sudanese,Sudan,A1275404,UN 1267,Al-Qaida,Terrorism Financing,Terrorism Financing - Designated under UN 1267 (Al-Qaida),19-09-2010,09-11-2023,Active,Cross-listed on EU list
ED-685174,Individual,Mokhtar Belmokhtar alias,alias Belmokhtar Mokhtar | Mokhtar alias,06-06-1973,Algerian,Algeria,R6518103,UN 1267,Al-Qaida,Terrorism Financing,Terrorism Financing - Designated under UN 1267 (Al-Qaida),13-06-2018,25-07-2023,Active,Cross-listed on EU list
HMT-308313,Individual,Ahmad Umar Abu Ubaidah,Ubaidah Abu Umar Ahmad | Ahmad Ubaidah | Abu Hassan,02-03-1951,Somalian,Somalia,F2551441,OFAC SDN,SDGT,Terrorism Financing,Terrorism Financing - Designated under OFAC SDN (SDGT),13-08-2012,16-02-2025,Active,Cross-listed on UN list
IRP-468826,Individual,Dawood Ibrahim Kaskar,Kaskar Ibrahim Dawood | Dawood Kaskar,09-02-1983,Indian,India,V2654299,India UAPA,UAPA Designated Individual,Terrorism Financing,Terrorism Financing - Designated under India UAPA (UAPA Designated Individual),04-10-2011,03-10-2024,Active,
FIU-796378,Individual,Hafiz Muhammad Saeed,Saeed Muhammad Hafiz | Hafiz Saeed | Abu Khalid,14-05-1973,Pakistani,Pakistan,E3263027,UN 1267,Al-Qaida,Terrorism Financing,Terrorism Financing - Designated under UN 1267 (Al-Qaida),14-11-2021,23-09-2023,Active,
FIU-374997,Individual,Masood Azhar Alvi,Alvi Azhar Masood | Masood Alvi | Abu Omar,14-04-1982,Pakistani,Pakistan,Q3153148,UN 1267,Al-Qaida,Terrorism Financing,Terrorism Financing - Designated under UN 1267 (Al-Qaida),27-09-2012,25-02-2025,Active,Cross-listed on UK HMT list
UN-601348,Individual,Tiger Memon alias,alias Memon Tiger | Tiger alias,16-02-1950,Indian,India,J5054558,India UAPA,UAPA Designated Individual,Terrorism Financing,Terrorism Financing - Designated under India UAPA (UAPA Designated Individual),07-11-2003,17-09-2023,Active,
EU-688798,Individual,Chhota Shakeel Mohammad,Mohammad Shakeel Chhota | Chhota Mohammad,12-11-1983,Indian,India,Y9985918,India ED,PMLA Prosecution,Organised Crime / Mafia,Organised Crime / Mafia - Designated under India ED (PMLA Prosecution),04-05-2003,18-03-2024,Active,
HMT-312370,Individual,Iqbal Mirchi Memon,Memon Mirchi Iqbal | Iqbal Memon,25-09-1950,Indian,India,O9331840,India ED,PMLA Prosecution,Money Laundering,Money Laundering - Designated under India ED (PMLA Prosecution),26-01-2003,19-03-2024,Active,
UN-771422,Individual,Vicky Goswami alias,alias Goswami Vicky | Vicky alias,05-03-1964,Indian,India,Z8677952,India FIU,STR Alert,Narcotics Trafficking,Narcotics Trafficking - Designated under India FIU (STR Alert),27-08-2016,12-02-2023,Active,
OFAC-416237,Individual,Evgeniy Bogachev Mikhailovich,Mikhailovich Bogachev Evgeniy | Evgeniy Mikhailovich,02-11-1988,Russian,Russia,V5180321,OFAC SDN,CYBER,Cybercrime,Cybercrime - Designated under OFAC SDN (CYBER),11-01-2022,30-01-2025,Active,
UN-398041,Individual,Maksim Yakubets Viktor,Viktor Yakubets Maksim | Maksim Viktor,23-06-1955,Russian,Russia,E1535313,OFAC SDN,CYBER,Cybercrime,Cybercrime - Designated under OFAC SDN (CYBER),02-12-2015,02-02-2025,Active,Cross-listed on UK HMT list
ED-376763,Individual,Park Jin Hyok,Hyok Jin Park | Park Hyok,09-09-1980,North Korean,North Korea,P2331598,OFAC SDN,DPRK,Cybercrime,Cybercrime - Designated under OFAC SDN (DPRK),01-04-2012,17-06-2024,Active,Cross-listed on OFAC list
FIU-280259,Individual,Kim Il Lazarus,Lazarus Il Kim | Kim Lazarus | Al-Iraqi,09-12-1990,North Korean,North Korea,H3900704,OFAC SDN,DPRK,Cybercrime,Cybercrime - Designated under OFAC SDN (DPRK),21-12-2018,06-02-2023,Active,Cross-listed on EU list
HMT-475886,Individual,Abdul Qadeer Khan Network,Network Khan Qadeer Abdul | Abdul Network,09-03-1966,Pakistani,Pakistan,L3783618,OFAC SDN,IRAN,WMD Proliferation,WMD Proliferation - Designated under OFAC SDN (IRAN),08-04-2015,07-08-2025,Active,
HMT-760434,Individual,B.S.A. Tahir,Tahir B.S.A.,21-12-1971,Sri Lankan,Sri Lanka,F6498498,OFAC SDN,IRAN,WMD Proliferation,WMD Proliferation - Designated under OFAC SDN (IRAN),29-06-2018,09-04-2023,Active,
FIU-260797,Individual,Friedrich Tinner,Tinner Friedrich | Al-Iraqi,17-04-1962,Swiss,Switzerland,D7656660,OFAC SDN,IRAN,WMD Proliferation,WMD Proliferation - Designated under OFAC SDN (IRAN),01-07-2012,25-12-2025,Active,
OFAC-334714,Individual,Teodoro Nguema Obiang,Obiang Nguema Teodoro | Teodoro Obiang | Al-Libi,26-04-1951,Equatorial Guinean,Equatorial Guinea,M3629050,OFAC SDN,NARCOTICS,Corruption / Kleptocracy,Corruption / Kleptocracy - Designated under OFAC SDN (NARCOTICS),21-02-2012,16-04-2024,Active,Cross-listed on OFAC list
OFAC-761151,Individual,Rakhat Aliyev,Aliyev Rakhat,07-07-1961,Kazakhstani,Kazakhstan,X5392595,Interpol RN,Red Notice,Corruption / Kleptocracy,Corruption / Kleptocracy - Designated under Interpol RN (Red Notice),05-05-2014,15-01-2023,Active,
ED-549479,Individual,Gulnara Karimova,Karimova Gulnara,14-11-1953,Uzbek,Uzbekistan,K5647469,OFAC SDN,SDGT,Corruption / Kleptocracy,Corruption / Kleptocracy - Designated under OFAC SDN (SDGT),21-12-2016,21-10-2023,Active,Cross-listed on UN list
HMT-565553,Individual,Reza Zarrab,Zarrab Reza,15-03-1962,Turkish,Turkey,V9702053,OFAC SDN,IRAN,Sanctions Evasion,Sanctions Evasion - Designated under OFAC SDN (IRAN),12-05-2016,06-09-2024,Active,
IRP-202892,Individual,Najib Razak,Razak Najib | Abu Omar,22-01-1961,Malaysian,Malaysia,O4233972,Interpol RN,Red Notice,Corruption / Kleptocracy,Corruption / Kleptocracy - Designated under Interpol RN (Red Notice),26-12-2013,24-01-2023,Active,
ED-304813,Individual,Jho Low alias,alias Low Jho | Jho alias | Al-Iraqi,18-02-1983,Malaysian,Malaysia,N1005538,OFAC SDN,SDGT,Money Laundering,Money Laundering - Designated under OFAC SDN (SDGT),15-03-2016,22-01-2024,Active,
EU-121207,Individual,Ali Sadr Hashemi Nejad,Nejad Hashemi Sadr Ali | Ali Nejad | Abu Khalid,02-12-1969,Iranian,Iran,B4367385,OFAC SDN,IRAN,Trade-Based Money Laundering,Trade-Based Money Laundering - Designated under OFAC SDN (IRAN),05-12-2007,28-02-2024,Active,Cross-listed on EU list
HMT-469571,Individual,Alaa Eddin Al-Jabri,Al-Jabri Eddin Alaa | Alaa Al-Jabri | Abu Khalid,11-06-1968,Saudi Arabian,Saudi Arabia,H5903503,Interpol RN,Red Notice,Corruption / Kleptocracy,Corruption / Kleptocracy - Designated under Interpol RN (Red Notice),18-02-2013,03-08-2023,Active,
UN-937208,Individual,Kassim Tajideen,Tajideen Kassim | Al-Muhajir,25-05-1966,Lebanese,Lebanon,L6706714,OFAC SDN,SDGT,Terrorism Financing,Terrorism Financing - Designated under OFAC SDN (SDGT),04-03-2018,22-08-2025,Active,
HMT-779824,Individual,Ibrahim Daoud Al-Assad,Al-Assad Daoud Ibrahim | Ibrahim Al-Assad | Abu Khalid,16-01-1960,Syrian,Syria,A5278020,EU Consolidated,EU Syria Sanctions,Sanctions Evasion,Sanctions Evasion - Designated under EU Consolidated (EU Syria Sanctions),08-01-2005,10-11-2024,Active,
ED-491211,Individual,Wang Jian Feng,Feng Jian Wang | Wang Feng,12-03-1991,Chinese,China,L7130119,OFAC SDN,DPRK,Sanctions Evasion,Sanctions Evasion - Designated under OFAC SDN (DPRK),13-02-2018,06-07-2024,Active,
